tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
--- NEW FIGHT STARTED @ 2026-04-20 20:38:45 ---
tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
47,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,0.0,0.0,2.0,50.0,0.0,1,0.0,0.4848484992980957,2.0
48,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,1.0,50.0,0.0,1,0.0,0.4848484992980957,2.0
49,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,0.0,0.0,0.0,50.0,0.0,1,0.0,0.7070707082748413,2.0
50,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,4.0,50.0,1.0,1,0.0,0.7070707082748413,2.0
51,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,0.0,0.0,3.0,50.0,0.0,1,0.0,0.7070707082748413,2.0
52,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,2.0,50.0,0.0,1,0.0,0.7070707082748413,2.0
53,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1,75.0,0.7070707082748413,2.0
54,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,1,75.0,0.7070707082748413,2.0
55,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,4.0,50.0,1.0,1,75.0,0.7070707082748413,3.0
56,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,1,75.0,0.7070707082748413,3.0
57,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,2.0,50.0,0.0,1,75.0,0.6363636255264282,3.0
58,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,31.0,1.0,50.0,0.0,1,75.0,0.6363636255264282,3.0
59,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,30.0,0.0,50.0,0.0,1,75.0,0.6363636255264282,3.0
60,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,29.0,4.0,50.0,1.0,1,75.0,0.6363636255264282,3.0
61,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,28.0,3.0,50.0,0.0,1,75.0,0.6363636255264282,3.0
62,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,27.0,2.0,50.0,0.0,1,75.0,0.4343434274196625,3.0
63,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,26.0,1.0,50.0,0.0,1,75.0,0.4343434274196625,3.0
64,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,25.0,0.0,50.0,0.0,1,75.0,0.6565656661987305,3.0
65,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,24.0,4.0,50.0,1.0,1,75.0,0.6565656661987305,3.0
66,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,23.0,3.0,50.0,0.0,1,75.0,0.6565656661987305,3.0
67,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,22.0,2.0,50.0,0.0,1,75.0,0.5252525210380554,3.0
68,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,21.0,1.0,50.0,0.0,1,75.0,0.747474730014801,3.0
69,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,20.0,0.0,50.0,0.0,1,75.0,0.747474730014801,3.0
70,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,19.0,4.0,50.0,1.0,1,75.0,0.747474730014801,3.0
71,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,18.0,3.0,50.0,0.0,1,75.0,0.747474730014801,3.0
72,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,17.0,2.0,50.0,0.0,1,75.0,0.747474730014801,3.0
73,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,16.0,1.0,50.0,0.0,1,75.0,0.747474730014801,3.0
74,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,15.0,0.0,50.0,0.0,1,75.0,0.747474730014801,3.0
75,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,14.0,4.0,50.0,1.0,1,75.0,0.808080792427063,3.0
76,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,13.0,3.0,50.0,0.0,1,75.0,0.808080792427063,3.0
77,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,12.0,2.0,50.0,0.0,1,75.0,0.808080792427063,3.0
78,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,11.0,1.0,50.0,0.0,1,75.0,0.7373737096786499,3.0
79,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,10.0,0.0,50.0,0.0,1,75.0,0.7373737096786499,3.0
80,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,9.0,4.0,50.0,1.0,1,75.0,0.7373737096786499,3.0
81,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,8.0,3.0,50.0,0.0,1,75.0,0.7373737096786499,3.0
82,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,7.0,2.0,50.0,0.0,1,75.0,0.7373737096786499,3.0
83,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,6.0,1.0,50.0,0.0,1,75.0,0.7373737096786499,3.0
84,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,5.0,0.0,50.0,0.0,1,75.0,0.7373737096786499,3.0
85,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,4.0,4.0,50.0,1.0,1,75.0,0.7373737096786499,3.0
86,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,3.0,3.0,50.0,0.0,1,75.0,0.7676767706871033,3.0
87,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,2.0,2.0,50.0,0.0,1,75.0,0.7676767706871033,3.0
88,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,1.0,1.0,50.0,0.0,1,75.0,0.6767676472663879,3.0
89,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,0.0,0.0,50.0,0.0,1,75.0,0.6767676472663879,3.0
90,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,2.0,0.0,4.0,50.0,1.0,1,75.0,0.6767676472663879,3.0
91,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,3.0,60.0,0.0,1,75.0,0.6767676472663879,3.0
92,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,5.0,60.0,0.0,1,75.0,0.4848484992980957,3.0
93,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,0.0,4.0,60.0,0.0,1,75.0,0.7070707082748413,3.0
94,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,0.0,3.0,60.0,0.0,1,75.0,0.7070707082748413,3.0
95,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,2.0,0.0,2.0,60.0,0.0,1,75.0,0.7070707082748413,3.0
96,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,1.0,60.0,0.0,1,75.0,0.7070707082748413,3.0
97,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,1,75.0,0.7070707082748413,3.0
98,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,4.0,60.0,1.0,1,75.0,0.7070707082748413,3.0
99,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,3.0,60.0,0.0,1,75.0,0.5858585834503174,3.0
100,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,31.0,2.0,60.0,0.0,1,75.0,0.5959596037864685,3.0
101,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,30.0,1.0,60.0,0.0,1,75.0,0.5959596037864685,3.0
